n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,selector,target_risk,public_pool_cases,manifest_cases,manifest_coverage,dataset
85,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.35,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.35,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.35,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.4,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.4,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.4,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.45,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.45,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.45,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.5,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.5,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.5,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.55,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.55,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.55,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.6,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.6,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,blind_physics,0.6,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.3,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.3,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.3,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.35,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.35,,189,0.0,dockgen
305,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.35,,428,0.0,posebusters_benchmark
85,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.4,,85,0.0,astex_diverse
99,0,0.0,,,,posebench_public_pool_lodo,lodo_logreg_antimemory_weighted,0.4,,189,0.0,dockgen
