benchmark,detector,target_risk,fold,threshold,calibration_retained_n,calibration_failure_rate,calibration_cp_upper,calibration_coverage
runs_n_poses,rank_confidence_structure_memory,0.3,0,0.9276443402727532,3187,0.28647631000941326,0.2999480256336778,0.8428987040465485
runs_n_poses,rank_confidence_structure_memory,0.3,1,0.9342027830511666,3228,0.2865551425030979,0.2999401725110966,0.8537423961914837
runs_n_poses,rank_confidence_structure_memory,0.3,2,0.9430101253261765,3296,0.2867111650485437,0.2999563958455661,0.8714965626652564
runs_n_poses,rank_confidence_structure_memory,0.3,3,0.949296526796966,3300,0.2866666666666667,0.2999031222667447,0.8725542041248017
runs_n_poses,rank_confidence_structure_memory,0.3,4,0.9351431265949368,3291,0.2865390458827104,0.2997923393566234,0.870174510840825
runs_n_poses,rank_confidence_structure_memory,0.35,0,0.9703577672025842,3472,0.33640552995391704,0.3498374746996359,0.9182755884686591
runs_n_poses,rank_confidence_structure_memory,0.35,1,0.9721245956330536,3509,0.3365631233969792,0.3499242163009254,0.9280613594287226
runs_n_poses,rank_confidence_structure_memory,0.35,2,0.981236556378006,3584,0.33677455357142855,0.3499945100323125,0.9476467477525119
runs_n_poses,rank_confidence_structure_memory,0.35,3,0.9813283714797818,3579,0.3366862252025706,0.3499147905461038,0.9463246959280803
runs_n_poses,rank_confidence_structure_memory,0.35,4,0.9767569532243824,3567,0.3366975049060835,0.3499487962421714,0.9431517715494447
runs_n_poses,rank_confidence_structure_memory_shuffled,0.1,0,0.1965659840019481,1509,0.08681245858184228,0.0996721336817482,0.399100766992859
runs_n_poses,rank_confidence_structure_memory_shuffled,0.1,1,0.2256092539993153,1563,0.08701215611004479,0.09964320351371414,0.41338270298862734
runs_n_poses,rank_confidence_structure_memory_shuffled,0.1,2,0.2305984478072195,1617,0.08719851576994433,0.09961245091745045,0.42755156002115285
runs_n_poses,rank_confidence_structure_memory_shuffled,0.1,3,0.2478712008332496,1622,0.08754623921085081,0.0999598596838299,0.42887361184558437
runs_n_poses,rank_confidence_structure_memory_shuffled,0.1,4,0.2021356824057843,1566,0.08684546615581099,0.09945363822043211,0.4140666314119513
runs_n_poses,rank_confidence_structure_memory_shuffled,0.15,0,0.4204484742509489,2071,0.13664896185417671,0.1496866369755087,0.5477386934673367
runs_n_poses,rank_confidence_structure_memory_shuffled,0.15,1,0.4242547975695473,2062,0.1367604267701261,0.14983204134793518,0.5453583708013753
runs_n_poses,rank_confidence_structure_memory_shuffled,0.15,2,0.4527614594933295,2151,0.13714551371455136,0.14994491804234317,0.5687466948704389
runs_n_poses,rank_confidence_structure_memory_shuffled,0.15,3,0.4523519310909658,2106,0.13675213675213677,0.1496796103928084,0.5568482284505553
runs_n_poses,rank_confidence_structure_memory_shuffled,0.15,4,0.4172537970904137,2113,0.13677236157122574,0.14967812324318527,0.5586991010047594
runs_n_poses,rank_confidence_structure_memory_shuffled,0.2,0,0.6203818794540852,2471,0.18656414407122623,0.19992996545269728,0.6535308119545093
runs_n_poses,rank_confidence_structure_memory_shuffled,0.2,1,0.638368532344521,2497,0.18662394873848617,0.1999190543798858,0.6604072996561756
runs_n_poses,rank_confidence_structure_memory_shuffled,0.2,2,0.6727474154068157,2602,0.18677940046118371,0.19979796071284095,0.6879957694341619
runs_n_poses,rank_confidence_structure_memory_shuffled,0.2,3,0.6809550831163708,2585,0.18684719535783365,0.19991168743925417,0.6835007932310947
runs_n_poses,rank_confidence_structure_memory_shuffled,0.2,4,0.6285876727498926,2522,0.18675654242664552,0.1999866273581124,0.6668429402432575
runs_n_poses,rank_confidence_structure_memory_shuffled,0.25,0,0.7599468768772477,2826,0.23637650389242745,0.24989825908182509,0.7474213171118752
runs_n_poses,rank_confidence_structure_memory_shuffled,0.25,1,0.7660399404990123,2839,0.2363508277562522,0.2498402580602598,0.7508595609627082
runs_n_poses,rank_confidence_structure_memory_shuffled,0.25,2,0.7923560048061821,2928,0.23668032786885246,0.2499634828971726,0.7741935483870968
runs_n_poses,rank_confidence_structure_memory_shuffled,0.25,3,0.8007347100976598,2934,0.2365371506475801,0.249803760572443,0.7757800105764145
runs_n_poses,rank_confidence_structure_memory_shuffled,0.25,4,0.7726234471433427,2906,0.23640743289745356,0.24973719450611867,0.7683765203595981
runs_n_poses,rank_confidence_structure_memory_shuffled,0.3,0,0.8582404524659114,3158,0.2862571247625079,0.2997890434564328,0.8352287754562285
runs_n_poses,rank_confidence_structure_memory_shuffled,0.3,1,0.8700419188078119,3178,0.28634361233480177,0.2998330741180511,0.8405183813805871
runs_n_poses,rank_confidence_structure_memory_shuffled,0.3,2,0.8837654687201172,3260,0.2865030674846626,0.2998201325644454,0.8619777895293496
runs_n_poses,rank_confidence_structure_memory_shuffled,0.3,3,0.8822796086926935,3255,0.28663594470046083,0.2999651756010726,0.860655737704918
runs_n_poses,rank_confidence_structure_memory_shuffled,0.3,4,0.87478543313054,3248,0.28663793103448276,0.29998185695076335,0.8588048651507139
runs_n_poses,rank_confidence_structure_memory_shuffled,0.35,0,0.9287260958928392,3469,0.33640818679734796,0.34984606632651777,0.9174821475800052
runs_n_poses,rank_confidence_structure_memory_shuffled,0.35,1,0.9394747438327954,3498,0.33647798742138363,0.34985968034059733,0.9251520761703254
runs_n_poses,rank_confidence_structure_memory_shuffled,0.35,2,0.9506431271520678,3577,0.33659491193737767,0.34982642793111807,0.9457958751983078
runs_n_poses,rank_confidence_structure_memory_shuffled,0.35,3,0.9516121804312124,3574,0.3365976496922216,0.34983484012163585,0.9450026441036489
runs_n_poses,rank_confidence_structure_memory_shuffled,0.35,4,0.9434533766815708,3558,0.3367060146149522,0.3499744270174162,0.940772078265468
