selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,mean_memory_score,official_success,delta_vs_official
fusion_rank_confidence,af3,high,300,0.9666666666666667,0.3159688115119934,1.0,0.9572682121790035,0.8885714285714286,0.0780952380952381
fusion_rank_confidence,af3,low,97,0.28865979381443296,7.027091503143311,1.0,0.2685289496570315,0.13825757575757575,0.15040221805685722
fusion_rank_confidence,af3,mid,300,0.6466666666666666,1.2767794728279114,0.9966666666666667,0.5040428889103519,0.48261076703191996,0.16405589963474665
fusion_rank_confidence,af3_no_template,high,300,0.9766666666666667,0.3111069947481155,1.0,0.9575537143879607,0.8885714285714286,0.08809523809523812
fusion_rank_confidence,af3_no_template,low,97,0.28865979381443296,7.779166221618652,0.979381443298969,0.2685289496570315,0.13825757575757575,0.15040221805685722
fusion_rank_confidence,af3_no_template,mid,300,0.6866666666666666,1.1621026992797852,0.9933333333333333,0.5040428889103519,0.48261076703191996,0.20405589963474668
fusion_rank_confidence,boltz,high,300,0.8833333333333333,0.5486553013324738,0.9933333333333333,0.9464044066293124,0.8885714285714286,-0.005238095238095264
fusion_rank_confidence,boltz,low,70,0.11428571428571428,7.398408889770508,0.9857142857142858,0.26989991338778635,0.13825757575757575,-0.023971861471861464
fusion_rank_confidence,boltz,mid,300,0.5533333333333333,1.749832808971405,0.9866666666666667,0.5055635582461321,0.48261076703191996,0.07072256630141338
fusion_rank_confidence,boltz1x,high,300,0.87,0.5253274440765381,1.0,0.9452008001052491,0.8885714285714286,-0.018571428571428572
fusion_rank_confidence,boltz1x,low,66,0.15151515151515152,7.4459006786346436,0.9848484848484849,0.27202637287612225,0.13825757575757575,0.013257575757575774
fusion_rank_confidence,boltz1x,mid,300,0.56,1.558794915676117,0.9933333333333333,0.5059693592494448,0.48261076703191996,0.07738923296808009
fusion_rank_confidence,boltz2,mid,299,0.6421404682274248,1.2982395887374878,1.0,0.549797860716944,0.48261076703191996,0.1595297011955048
fusion_rank_confidence,boltz2,high,300,0.94,0.41182751953601837,1.0,0.8616660759639482,0.8885714285714286,0.05142857142857138
fusion_rank_confidence,boltz2,low,31,0.16129032258064516,7.965439796447754,1.0,0.2627922006812176,0.13825757575757575,0.02303274682306941
fusion_rank_confidence,chai,high,300,0.9166666666666666,0.3616082519292831,1.0,0.9524094216639715,0.8885714285714286,0.028095238095238062
fusion_rank_confidence,chai,low,80,0.2625,8.144830226898193,1.0,0.26674635697012333,0.13825757575757575,0.12424242424242427
fusion_rank_confidence,chai,mid,300,0.53,1.7852389216423035,0.9966666666666667,0.504602420381713,0.48261076703191996,0.047389232968080064
fusion_rank_confidence,protenix,high,300,0.96,0.38148531317710876,1.0,0.9543330116269505,0.8885714285714286,0.0714285714285714
