analysis,strategy,generator_group,k,n_cases,mean_candidates_available,empty_case_rate,baseline_success,selector_success,oracle_success,headroom_oracle_minus_baseline,selector_recovered_headroom,baseline_median_rmsd,selector_median_rmsd,oracle_median_rmsd,rescued_vs_baseline,harmed_vs_baseline
candidate_diversity_vs_depth,same_generator,DynamicBind,4,702,1.3205128205128205,0.33903133903133903,0.1168091168091168,0.12535612535612536,0.1282051282051282,0.011396011396011388,0.7500000000000016,6.306400979312489,6.412464602353742,6.066399589406469,8,2
candidate_diversity_vs_depth,same_generator,DynamicBind,8,702,1.3205128205128205,0.33903133903133903,0.1168091168091168,0.12535612535612536,0.1282051282051282,0.011396011396011388,0.7500000000000016,6.306400979312489,6.412464602353742,6.066399589406469,8,2
candidate_diversity_vs_depth,same_generator,DynamicBind,16,702,1.3205128205128205,0.33903133903133903,0.1168091168091168,0.12535612535612536,0.1282051282051282,0.011396011396011388,0.7500000000000016,6.306400979312489,6.412464602353742,6.066399589406469,8,2
candidate_diversity_vs_depth,same_generator,DynamicBind,32,702,1.3205128205128205,0.33903133903133903,0.1168091168091168,0.12535612535612536,0.1282051282051282,0.011396011396011388,0.7500000000000016,6.306400979312489,6.412464602353742,6.066399589406469,8,2
candidate_diversity_vs_depth,same_generator,NeuralPlexer,1,702,0.6794871794871795,0.32051282051282054,0.10398860398860399,0.10398860398860399,0.10398860398860399,0.0,,6.404065241566117,6.404065241566117,6.404065241566117,0,0
candidate_diversity_vs_depth,same_generator,NeuralPlexer,2,702,1.358974358974359,0.32051282051282054,0.10398860398860399,0.13247863247863248,0.13817663817663817,0.03418803418803418,0.8333333333333336,6.404065241566117,5.8430732866170505,5.255230576625539,22,2
candidate_diversity_vs_depth,same_generator,NeuralPlexer,4,702,2.717948717948718,0.32051282051282054,0.10398860398860399,0.15954415954415954,0.1752136752136752,0.07122507122507121,0.7800000000000001,6.404065241566117,4.921436243196599,4.236185264344108,45,6
candidate_diversity_vs_depth,same_generator,NeuralPlexer,8,702,4.071225071225071,0.32051282051282054,0.10398860398860399,0.15669515669515668,0.18376068376068377,0.07977207977207978,0.6607142857142855,6.404065241566117,4.240556387526226,3.86090666994166,46,9
candidate_diversity_vs_depth,same_generator,NeuralPlexer,16,702,4.071225071225071,0.32051282051282054,0.10398860398860399,0.15669515669515668,0.18376068376068377,0.07977207977207978,0.6607142857142855,6.404065241566117,4.240556387526226,3.86090666994166,46,9
candidate_diversity_vs_depth,same_generator,NeuralPlexer,32,702,4.071225071225071,0.32051282051282054,0.10398860398860399,0.15669515669515668,0.18376068376068377,0.07977207977207978,0.6607142857142855,6.404065241566117,4.240556387526226,3.86090666994166,46,9
candidate_diversity_vs_depth,same_generator,RFAA,1,702,0.5028490028490028,0.49715099715099714,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.0,,4.634665879690103,4.634665879690103,4.634665879690103,0,0
candidate_diversity_vs_depth,same_generator,RFAA,2,702,1.0056980056980056,0.49715099715099714,0.12962962962962962,0.14245014245014245,0.1467236467236467,0.01709401709401709,0.7500000000000008,4.634665879690103,4.699863679357675,4.389007965523481,11,2
candidate_diversity_vs_depth,same_generator,RFAA,4,702,1.0056980056980056,0.49715099715099714,0.12962962962962962,0.14245014245014245,0.1467236467236467,0.01709401709401709,0.7500000000000008,4.634665879690103,4.699863679357675,4.389007965523481,11,2
candidate_diversity_vs_depth,same_generator,RFAA,8,702,1.0056980056980056,0.49715099715099714,0.12962962962962962,0.14245014245014245,0.1467236467236467,0.01709401709401709,0.7500000000000008,4.634665879690103,4.699863679357675,4.389007965523481,11,2
candidate_diversity_vs_depth,same_generator,RFAA,16,702,1.0056980056980056,0.49715099715099714,0.12962962962962962,0.14245014245014245,0.1467236467236467,0.01709401709401709,0.7500000000000008,4.634665879690103,4.699863679357675,4.389007965523481,11,2
candidate_diversity_vs_depth,same_generator,RFAA,32,702,1.0056980056980056,0.49715099715099714,0.12962962962962962,0.14245014245014245,0.1467236467236467,0.01709401709401709,0.7500000000000008,4.634665879690103,4.699863679357675,4.389007965523481,11,2
