similarity_bin,n_total,n_retained,coverage,failure_rate,success_rate,failure_cp_upper,benchmark,detector,target_risk
low,528,10,0.01893939393939394,0.9,0.09999999999999998,0.9948838031081763,runs_n_poses,reference_neighborhood_only,0.2
mid,2099,722,0.34397332062887087,0.39058171745152354,0.6094182825484764,0.42143343798135713,runs_n_poses,reference_neighborhood_only,0.2
high,2100,2083,0.991904761904762,0.1099375900144023,0.8900624099855977,0.12186112741168986,runs_n_poses,reference_neighborhood_only,0.25
low,528,54,0.10227272727272728,0.8703703703703703,0.12962962962962965,0.9375473868796255,runs_n_poses,reference_neighborhood_only,0.25
mid,2099,1196,0.5697951405431158,0.41304347826086957,0.5869565217391304,0.4370203818323582,runs_n_poses,reference_neighborhood_only,0.25
high,2100,2099,0.9995238095238095,0.1110052405907575,0.8889947594092424,0.1229271478865569,runs_n_poses,reference_neighborhood_only,0.3
low,528,119,0.22537878787878787,0.7983193277310925,0.2016806722689075,0.8568619724221517,runs_n_poses,reference_neighborhood_only,0.3
mid,2099,1671,0.7960933777989518,0.4757630161579892,0.5242369838420108,0.49617776095313987,runs_n_poses,reference_neighborhood_only,0.3
high,2100,2099,0.9995238095238095,0.1110052405907575,0.8889947594092424,0.1229271478865569,runs_n_poses,reference_neighborhood_only,0.35
low,528,284,0.5378787878787878,0.8204225352112676,0.17957746478873238,0.8570171455698791,runs_n_poses,reference_neighborhood_only,0.35
mid,2099,2032,0.9680800381133873,0.5093503937007874,0.4906496062992126,0.5278193437474161,runs_n_poses,reference_neighborhood_only,0.35
high,2100,1463,0.6966666666666667,0.03007518796992481,0.9699248120300752,0.038502048701399075,runs_n_poses,rank_confidence_structure,0.1
low,528,50,0.0946969696969697,0.56,0.43999999999999995,0.6801741113944499,runs_n_poses,rank_confidence_structure,0.1
mid,2099,580,0.27632205812291566,0.20172413793103447,0.7982758620689655,0.23110044979345065,runs_n_poses,rank_confidence_structure,0.1
high,2100,1683,0.8014285714285714,0.043969102792632206,0.9560308972073678,0.05309917221789321,runs_n_poses,rank_confidence_structure,0.15
low,528,97,0.18371212121212122,0.6288659793814433,0.3711340206185567,0.7108272925839525,runs_n_poses,rank_confidence_structure,0.15
mid,2099,925,0.4406860409718914,0.25513513513513514,0.7448648648648648,0.279812880552766,runs_n_poses,rank_confidence_structure,0.15
high,2100,1849,0.8804761904761905,0.058950784207679824,0.9410492157923201,0.06876360188224027,runs_n_poses,rank_confidence_structure,0.2
low,528,155,0.2935606060606061,0.6774193548387096,0.32258064516129037,0.739436691615969,runs_n_poses,rank_confidence_structure,0.2
mid,2099,1220,0.5812291567413054,0.32786885245901637,0.6721311475409837,0.3506774570868124,runs_n_poses,rank_confidence_structure,0.2
high,2100,1941,0.9242857142857143,0.07109737248840804,0.9289026275115919,0.08143974158178666,runs_n_poses,rank_confidence_structure,0.25
low,528,222,0.42045454545454547,0.7162162162162162,0.28378378378378377,0.7658485004176583,runs_n_poses,rank_confidence_structure,0.25
mid,2099,1461,0.6960457360647928,0.38261464750171115,0.6173853524982889,0.40403381870277466,runs_n_poses,rank_confidence_structure,0.25
high,2100,2006,0.9552380952380952,0.08325024925224327,0.9167497507477568,0.09410363370709059,runs_n_poses,rank_confidence_structure,0.3
low,528,310,0.5871212121212122,0.7709677419354839,0.2290322580645161,0.809779630312436,runs_n_poses,rank_confidence_structure,0.3
mid,2099,1729,0.8237255836112435,0.4384037015615963,0.5615962984384038,0.45838773472768346,runs_n_poses,rank_confidence_structure,0.3
