repeat,dataset,mol_id,k,oracle_success
1,posebusters_benchmark,6YQW_82I,4,True
1,posebusters_benchmark,6YQW_82I,8,True
1,posebusters_benchmark,6YR2_T1C,2,False
1,posebusters_benchmark,6YR2_T1C,4,True
1,posebusters_benchmark,6YR2_T1C,8,True
1,posebusters_benchmark,6YRV_PJ8,2,True
1,posebusters_benchmark,6YRV_PJ8,4,True
1,posebusters_benchmark,6YRV_PJ8,8,True
1,posebusters_benchmark,6YSP_PAL,2,False
1,posebusters_benchmark,6YSP_PAL,4,False
1,posebusters_benchmark,6YSP_PAL,8,False
1,posebusters_benchmark,6YT6_PKE,2,False
1,posebusters_benchmark,6YT6_PKE,4,False
1,posebusters_benchmark,6YT6_PKE,8,False
1,posebusters_benchmark,6Z0R_Q4H,2,True
1,posebusters_benchmark,6Z0R_Q4H,4,True
1,posebusters_benchmark,6Z0R_Q4H,8,True
1,posebusters_benchmark,6Z14_Q4Z,2,True
1,posebusters_benchmark,6Z14_Q4Z,4,True
1,posebusters_benchmark,6Z14_Q4Z,8,True
1,posebusters_benchmark,6Z1C_7EY,2,True
1,posebusters_benchmark,6Z1C_7EY,4,True
1,posebusters_benchmark,6Z1C_7EY,8,True
1,posebusters_benchmark,6Z2C_Q5E,2,False
1,posebusters_benchmark,6Z2C_Q5E,4,False
1,posebusters_benchmark,6Z2C_Q5E,8,False
1,posebusters_benchmark,6Z4N_Q7B,2,False
1,posebusters_benchmark,6Z4N_Q7B,4,False
1,posebusters_benchmark,6Z4N_Q7B,8,False
1,posebusters_benchmark,6ZAE_ACV,2,True
1,posebusters_benchmark,6ZAE_ACV,4,True
1,posebusters_benchmark,6ZAE_ACV,8,True
1,posebusters_benchmark,6ZC3_JOR,2,False
1,posebusters_benchmark,6ZC3_JOR,4,False
1,posebusters_benchmark,6ZC3_JOR,8,True
1,posebusters_benchmark,6ZCY_QF8,2,True
1,posebusters_benchmark,6ZCY_QF8,4,True
1,posebusters_benchmark,6ZCY_QF8,8,True
1,posebusters_benchmark,6ZK5_IMH,2,False
1,posebusters_benchmark,6ZK5_IMH,4,False
1,posebusters_benchmark,6ZK5_IMH,8,True
1,posebusters_benchmark,6ZPB_3D1,2,False
1,posebusters_benchmark,6ZPB_3D1,4,False
1,posebusters_benchmark,6ZPB_3D1,8,True
1,posebusters_benchmark,7A1P_QW2,2,True
1,posebusters_benchmark,7A1P_QW2,4,True
1,posebusters_benchmark,7A1P_QW2,8,True
1,posebusters_benchmark,7A9E_R4W,2,False
1,posebusters_benchmark,7A9E_R4W,4,False
1,posebusters_benchmark,7A9E_R4W,8,False
1,posebusters_benchmark,7A9H_TPP,2,False
1,posebusters_benchmark,7A9H_TPP,4,False
1,posebusters_benchmark,7A9H_TPP,8,True
1,posebusters_benchmark,7AFX_R9K,2,True
1,posebusters_benchmark,7AFX_R9K,4,True
1,posebusters_benchmark,7AFX_R9K,8,True
1,posebusters_benchmark,7AKL_RK5,2,True
1,posebusters_benchmark,7AKL_RK5,4,True
1,posebusters_benchmark,7AKL_RK5,8,True
1,posebusters_benchmark,7AN5_RDH,2,False
1,posebusters_benchmark,7AN5_RDH,4,False
1,posebusters_benchmark,7AN5_RDH,8,False
1,posebusters_benchmark,7B94_ANP,2,True
1,posebusters_benchmark,7B94_ANP,4,True
1,posebusters_benchmark,7B94_ANP,8,True
1,posebusters_benchmark,7BCP_GCO,2,False
1,posebusters_benchmark,7BCP_GCO,4,True
1,posebusters_benchmark,7BCP_GCO,8,True
1,posebusters_benchmark,7BJJ_TVW,2,True
1,posebusters_benchmark,7BJJ_TVW,4,True
1,posebusters_benchmark,7BJJ_TVW,8,True
1,posebusters_benchmark,7BKA_4JC,2,False
1,posebusters_benchmark,7BKA_4JC,4,False
1,posebusters_benchmark,7BKA_4JC,8,False
1,posebusters_benchmark,7BMI_U4B,2,True
1,posebusters_benchmark,7BMI_U4B,4,True
1,posebusters_benchmark,7BMI_U4B,8,True
1,posebusters_benchmark,7BNH_BEZ,2,False
1,posebusters_benchmark,7BNH_BEZ,4,False
1,posebusters_benchmark,7BNH_BEZ,8,False
1,posebusters_benchmark,7BTT_F8R,2,False
1,posebusters_benchmark,7BTT_F8R,4,True
1,posebusters_benchmark,7BTT_F8R,8,True
1,posebusters_benchmark,7C0U_FGO,2,False
1,posebusters_benchmark,7C0U_FGO,4,False
1,posebusters_benchmark,7C0U_FGO,8,True
1,posebusters_benchmark,7C3U_AZG,2,False
1,posebusters_benchmark,7C3U_AZG,4,False
1,posebusters_benchmark,7C3U_AZG,8,False
