selector,dataset,similarity_risk,n_cases,manifest_cases,case_coverage,success,any_ligand_success,pb_valid_all,median_rmsd,median_centroid_distance,mean_memory_tanimoto
lodo_hgb_ordinary,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.4918032786885246,0.4918032786885246,0.4426229508196721,2.2150743378560493,1.0934847104076695,0.781905794917732
lodo_hgb_ordinary,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.4264705882352941,0.4264705882352941,0.47058823529411764,2.7455519765026173,1.1229680430359394,0.29134839213261715
lodo_hgb_ordinary,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.4666666666666667,0.4666666666666667,0.4666666666666667,2.298959483768507,0.8307971636674435,0.5400922302447368
lodo_hgb_ordinary,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.2823529411764706,0.29411764705882354,0.3176470588235294,5.298716388947422,2.608417203487181,0.9870348646361766
lodo_logreg_antimemory_weighted,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.3333333333333333,0.4074074074074074,0.7407407407407407,7.47899530711772,4.098134201904687,0.6473362666035998
lodo_logreg_antimemory_weighted,astex_diverse,low_similarity,46,85,0.5411764705882353,0.6739130434782609,0.6739130434782609,0.782608695652174,0.9999759785083373,0.5349371876158923,0.29098164783725144
lodo_logreg_antimemory_weighted,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.815208938014301,0.43580311358088186,0.5051039853147968
lodo_logreg_antimemory_weighted,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.13333333333333333,0.13333333333333333,0.4,23.754991853082164,23.345515235104617,0.5372906593743747
lodo_logreg_antimemory_weighted,dockgen,low_similarity,75,189,0.3968253968253968,0.3333333333333333,0.3466666666666667,0.02666666666666667,11.112136997583548,12.593969254614594,0.23795292198987827
lodo_logreg_antimemory_weighted,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.4444444444444444,0.4444444444444444,0.2222222222222222,2.706887694752039,2.2905338868045675,0.516564068647402
lodo_logreg_antimemory_weighted,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.5,0.5081967213114754,0.7540983606557377,1.6958908467044898,0.7907304664510713,0.781905794917732
lodo_logreg_antimemory_weighted,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.4852941176470588,0.4852941176470588,0.7352941176470589,2.135572865745164,1.0150918169045697,0.29134839213261715
