selector,baseline,scope,n_paired,success_delta,success_delta_ci_low,success_delta_ci_high,median_rmsd_delta,median_rmsd_delta_ci_low,median_rmsd_delta_ci_high,n_bootstrap
lodo_logreg_ordinary,lodo_run_prior,all,489,-0.05521472392638037,-0.08384458077709611,-0.02857873210633975,0.0,0.0,0.0,2000
lodo_logreg_ordinary,lodo_run_prior,dataset=astex_diverse,85,-0.047058823529411764,-0.11764705882352941,0.011764705882352941,0.0,0.0,0.011083682092122404,2000
lodo_logreg_ordinary,lodo_run_prior,dataset=dockgen,99,-0.06060606060606061,-0.13131313131313133,0.010101010101010102,0.01681293709744125,0.0,0.11442186461102466,2000
lodo_logreg_ordinary,lodo_run_prior,dataset=posebusters_benchmark,305,-0.05573770491803279,-0.09180327868852459,-0.022950819672131147,0.0,0.0,0.0,2000
lodo_logreg_ordinary,lodo_run_prior,risk=high_ligand_or_scaffold,164,-0.04878048780487805,-0.10365853658536585,0.0,0.0,0.0,0.0,2000
lodo_logreg_ordinary,lodo_run_prior,risk=low_similarity,189,-0.047619047619047616,-0.09523809523809523,-0.005291005291005291,0.0,0.0,0.004282076669649714,2000
lodo_logreg_ordinary,lodo_run_prior,risk=mid_or_unknown,51,-0.058823529411764705,-0.13725490196078433,0.0,0.0,0.0,0.0896088244312851,2000
lodo_logreg_ordinary,lodo_run_prior,risk=pdb_overlap,85,-0.08235294117647059,-0.15294117647058825,-0.011764705882352941,0.0,0.0,0.0,2000
lodo_prior_physics_calibrated,lodo_run_prior,all,489,0.006134969325153374,-0.002044989775051125,0.016359918200409,0.0,0.0,0.0,2000
lodo_prior_physics_calibrated,lodo_run_prior,dataset=astex_diverse,85,0.011764705882352941,0.0,0.03529411764705882,0.0,0.0,0.0,2000
lodo_prior_physics_calibrated,lodo_run_prior,dataset=dockgen,99,0.020202020202020204,-0.020202020202020204,0.06060606060606061,0.0,0.0,0.03828443028047257,2000
lodo_prior_physics_calibrated,lodo_run_prior,dataset=posebusters_benchmark,305,0.0,0.0,0.0,0.0,0.0,0.0,2000
lodo_prior_physics_calibrated,lodo_run_prior,risk=high_ligand_or_scaffold,164,0.006097560975609756,0.0,0.018292682926829267,0.0,0.0,0.0,2000
lodo_prior_physics_calibrated,lodo_run_prior,risk=low_similarity,189,0.005291005291005291,-0.010582010582010581,0.026455026455026454,0.0,0.0,0.0,2000
lodo_prior_physics_calibrated,lodo_run_prior,risk=mid_or_unknown,51,0.0196078431372549,0.0,0.058823529411764705,0.0,0.0,0.0,2000
lodo_prior_physics_calibrated,lodo_run_prior,risk=pdb_overlap,85,0.0,0.0,0.0,0.0,0.0,0.0,2000
oracle_pool_upper_bound,lodo_run_prior,all,489,0.24539877300613497,0.21058282208588958,0.2842535787321063,-0.6837542369852065,-1.1149198203685255,-0.46977645976425464,2000
oracle_pool_upper_bound,lodo_run_prior,dataset=astex_diverse,85,0.24705882352941178,0.15294117647058825,0.3411764705882353,-0.42742334356020883,-0.7743203774650312,-0.17861226328538748,2000
oracle_pool_upper_bound,lodo_run_prior,dataset=dockgen,99,0.2828282828282828,0.20202020202020202,0.37373737373737376,-1.3866660093771115,-12.748239363473196,-0.9241442628658703,2000
oracle_pool_upper_bound,lodo_run_prior,dataset=posebusters_benchmark,305,0.23278688524590163,0.18360655737704917,0.2786885245901639,-0.5994440233741678,-1.1149198203685255,-0.3238686015824732,2000
oracle_pool_upper_bound,lodo_run_prior,risk=high_ligand_or_scaffold,164,0.24390243902439024,0.18292682926829268,0.311128048780487,-0.7742114179079059,-1.9218552644772395,-0.3738816659553188,2000
oracle_pool_upper_bound,lodo_run_prior,risk=low_similarity,189,0.24867724867724866,0.19047619047619047,0.30687830687830686,-0.6445134645858047,-1.150050271719659,-0.2925873477368236,2000
oracle_pool_upper_bound,lodo_run_prior,risk=mid_or_unknown,51,0.19607843137254902,0.09803921568627451,0.3137254901960784,-0.3238686015824732,-1.1600403934582917,-0.10948648031982244,2000
oracle_pool_upper_bound,lodo_run_prior,risk=pdb_overlap,85,0.27058823529411763,0.17647058823529413,0.36470588235294116,-1.1149198203685255,-3.4262043281493346,-0.4539964763474329,2000
