selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,replacement_rate,eligible_rate
geometry_filter_strict,af3_no_template,low,97,0.1958762886597938,7.541641712188721,0.38235294117647056,0.29896907216494845,1.0
geometry_filter_strict,af3_no_template,mid,300,0.5066666666666667,1.8622468709945679,0.6570397111913358,0.08333333333333333,0.9766666666666667
geometry_filter_strict,boltz,all,670,0.6104477611940299,1.2434899806976318,0.5475352112676056,0.16119402985074627,0.9522388059701492
geometry_filter_strict,boltz,high,300,0.8566666666666667,0.5959227383136749,0.604,0.16666666666666666,0.9433333333333334
geometry_filter_strict,boltz,low,70,0.1,8.46573257446289,0.288135593220339,0.15714285714285714,0.9428571428571428
geometry_filter_strict,boltz,mid,300,0.48333333333333334,2.068337917327881,0.5521235521235521,0.15666666666666668,0.9633333333333334
geometry_filter_strict,boltz1x,all,666,0.6201201201201201,1.1667418479919434,0.9158730158730158,0.05405405405405406,0.975975975975976
geometry_filter_strict,boltz1x,high,300,0.85,0.5390196144580841,0.9267399267399268,0.09,0.9666666666666667
geometry_filter_strict,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8095238095238095,0.045454545454545456,1.0
geometry_filter_strict,boltz1x,mid,300,0.5133333333333333,1.9119031429290776,0.9285714285714286,0.02,0.98
geometry_filter_strict,boltz2,all,630,0.6936507936507936,0.9459085762500762,,0.06190476190476191,0.9873015873015873
geometry_filter_strict,boltz2,high,300,0.91,0.4376079589128494,,0.05333333333333334,0.98
geometry_filter_strict,boltz2,low,31,0.06451612903225806,8.908732414245605,,0.16129032258064516,1.0
geometry_filter_strict,boltz2,mid,299,0.5418060200668896,1.7600971460342407,,0.06020066889632107,0.9933110367892977
geometry_filter_strict,chai,all,680,0.5955882352941176,1.1583344340324402,0.6895424836601307,0.10294117647058823,0.9897058823529412
geometry_filter_strict,chai,high,300,0.8766666666666667,0.43165926635265345,0.806949806949807,0.13666666666666666,0.9933333333333333
geometry_filter_strict,chai,low,80,0.2125,9.292529582977295,0.5066666666666667,0.0625,0.9875
geometry_filter_strict,chai,mid,300,0.4166666666666667,2.5385701656341553,0.6294964028776978,0.08,0.9866666666666667
geometry_filter_strict,protenix,all,687,0.5822416302765647,1.1644535064697266,0.660377358490566,0.07714701601164484,0.9534206695778749
geometry_filter_strict,protenix,high,300,0.91,0.4483892470598221,0.7455197132616488,0.07,0.9
geometry_filter_strict,protenix,low,87,0.10344827586206896,11.975975036621094,0.42857142857142855,0.11494252873563218,1.0
