detector,flagged_fraction,retained_coverage_estimate,flagged_n_estimate,flagged_failure_rate_estimate,flagged_failure_rate_mean,flagged_failure_rate_ci_low,flagged_failure_rate_ci_high,failure_capture_rate_estimate,failure_capture_rate_mean,failure_capture_rate_ci_low,failure_capture_rate_ci_high,retained_coverage_mean,retained_coverage_ci_low,retained_coverage_ci_high,retained_success_estimate,retained_success_mean,retained_success_ci_low,retained_success_ci_high,retained_success_delta_estimate,retained_success_delta_mean,retained_success_delta_ci_low,retained_success_delta_ci_high,flagged_failure_rescueable_rate_estimate,flagged_failure_rescueable_rate_mean,flagged_failure_rescueable_rate_ci_low,flagged_failure_rescueable_rate_ci_high,actionable_flag_rate_estimate,actionable_flag_rate_mean,actionable_flag_rate_ci_low,actionable_flag_rate_ci_high
rank_confidence,0.4,0.599957689866723,1891.0,0.6583818085668959,0.6585080656738079,0.6154306529209622,0.6970314682277341,0.7014084507042253,0.7007399246574783,0.6778484294802201,0.7255214614323029,0.5999168214576549,0.5998280679131743,0.6,0.81311706629055,0.8122441199105608,0.7864115781987243,0.8375704460033881,0.18861949912321352,0.18833999976726626,0.17443969335192805,0.20285268528763264,0.2216867469879518,0.22158551172478458,0.1926414431477974,0.25513748338262027,0.14595452141723955,0.14581467153762098,0.1273403390899389,0.1671548231964505
rank_confidence,0.5,0.4998942246668077,2364.0,0.5989847715736041,0.6001900310559616,0.5641395356594836,0.6371138073659989,0.7977464788732395,0.7982402968058473,0.7748288930507279,0.8207386393292881,0.49994518389604314,0.49989089875515885,0.5,0.8480744815911976,0.8480473921922471,0.8236871721223438,0.8736785934942117,0.22357691442386107,0.2241432720489525,0.2080747721291609,0.23955134424919727,0.22810734463276836,0.2273375575477444,0.1976848856314875,0.25934970773381294,0.13663282571912014,0.136345708733003,0.11850696046762037,0.15508711737920564
memory_only,0.05,0.94986249206685,237.0,0.8734177215189873,0.8695784675867351,0.7773012916957176,0.9418986342097927,0.11661971830985915,0.11629355238443034,0.10305641770643406,0.1285259213784146,0.9498980440273367,0.9497979153371623,0.95,0.6507795100222717,0.6510422158581368,0.6228418962732006,0.6780407014635826,0.026281942854935236,0.02608416604884853,0.021165521014334936,0.02994072097743202,0.11594202898550725,0.11483659382044263,0.056859838274932614,0.18912531934919996,0.10126582278481013,0.09922435999628593,0.05083759762994883,0.16206492089470811
memory_only,0.1,0.8999365348000846,473.0,0.8562367864693446,0.8572598052689667,0.790046894961518,0.9115826435508049,0.22816901408450704,0.22901056162786873,0.20942851317424363,0.24817660696268468,0.8999032758245932,0.8998077333903012,0.9,0.6779501645510109,0.6785952715254456,0.6488286000552792,0.7066494723476012,0.05345259738367436,0.053637221716157375,0.04674437096139417,0.05943676234746989,0.10617283950617284,0.11150790832482241,0.07242990654205607,0.16521498771498763,0.09090909090909091,0.09538859191043295,0.06296452009844135,0.1369553893903977
memory_only,0.2,0.7998730696001692,946.0,0.7854122621564482,0.7813972905565755,0.7284891238475025,0.8325073237742677,0.41859154929577463,0.41720236765746344,0.38852741205957764,0.44663760224519655,0.7999133281890727,0.7998275257537807,0.8,0.7270563343030945,0.7266018344293118,0.6972936588065053,0.7555222190719266,0.10255876713575796,0.10164378462002353,0.09037699986318537,0.11306296877813612,0.1440107671601615,0.1442223056667727,0.10730329243581946,0.18373943268357437,0.113107822410148,0.11259926809666754,0.08440585272584766,0.14270945627994525
memory_only,0.3,0.6998096044002539,1419.0,0.711768851303735,0.7160315933730838,0.6634028094846741,0.7646936599799834,0.5690140845070423,0.573248609780617,0.5392259339707132,0.6106280985144852,0.6999055058125859,0.6998071566316691,0.7,0.7687424425634825,0.7711620770903387,0.7439469399233567,0.8015162925682378,0.14424487539614594,0.14620402728105045,0.12964265726383312,0.16194794783985508,0.16237623762376238,0.1619194827401082,0.13199764972835693,0.19560278508786688,0.11557434813248767,0.11586627993603091,0.09452679490772375,0.1402828174100245
memory_only,0.4,0.599957689866723,1891.0,0.6467477525118984,0.6471620648075646,0.5977827440171481,0.6925365656119121,0.6890140845070423,0.6905663233800611,0.6604867492543024,0.7234011984706384,0.5999117878606484,0.5998274141289307,0.6,0.8053596614950634,0.8064380452103506,0.7791777018187127,0.8347104089953933,0.18086209432772693,0.18147999540106224,0.15953343507287665,0.20161114097145164,0.1733442354865086,0.1734772777854769,0.1454951087188688,0.20377677640200037,0.1121099947117927,0.11217759194875779,0.09491679946662979,0.1326928764527831
memory_only,0.5,0.4998942246668077,2364.0,0.6027918781725888,0.5980025748875897,0.5562606846058177,0.6370180947985986,0.8028169014084507,0.7975517900081605,0.7654178695677915,0.8285768850153649,0.49994811027287855,0.49989070797278307,0.5,0.8518831993228946,0.8479649784733062,0.8184392105153387,0.8766346264855075,0.22738563215555807,0.223006928664018,0.2005138152352927,0.2447537238006949,0.1887719298245614,0.18927364437215607,0.16092449396165645,0.21441674153938303,0.11379018612521151,0.11308750493175253,0.09744662408576532,0.1285903238921263
rank_confidence_structure,0.05,0.94986249206685,237.0,0.9535864978902954,0.9453244761589396,0.910437806873977,0.9768065142364106,0.12732394366197183,0.12639454618484755,0.11741024033386376,0.1360994244977124,0.9499000686895045,0.9498000201666665,0.95,0.6550111358574611,0.6548528598811417,0.6244025036910935,0.684386978395209,0.03051356869012456,0.03006881339682841,0.027924249243992588,0.031973753730279365,0.1504424778761062,0.15250557569542633,0.1052319857561793,0.2062126307922272,0.14345991561181434,0.14407968055079617,0.1,0.1946277223473875
rank_confidence_structure,0.1,0.8999365348000846,473.0,0.9154334038054969,0.9180810910678092,0.8858316444701795,0.9482811955688706,0.24394366197183098,0.24521794007024159,0.2284544750672175,0.2634582563782328,0.899912652641938,0.8998085513720485,0.9,0.684532204983545,0.6851609444647174,0.6545949267573234,0.7159243475790414,0.060034637816208436,0.06037689798040413,0.056355966351013635,0.06388263674100281,0.15935334872979215,0.16535351239247367,0.12359550561797752,0.21486928616973458,0.14587737843551796,0.15168674181712652,0.11354534799855752,0.19528095942081047
