selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,pair_auroc,pair_auprc
official_ranking,protenix,all,687,0.5836972343522562,1.206549048423767,0.636098981077147,,
official_ranking,protenix,high,300,0.91,0.4405972957611084,0.7333333333333333,,
official_ranking,protenix,low,87,0.10344827586206896,12.181598663330078,0.39080459770114945,,
official_ranking,protenix,mid,300,0.39666666666666667,2.7204418182373047,0.61,,
oracle_min_rmsd,all_methods,all,4727,0.7141950497144066,0.7500402331352234,0.7729468599033816,,
oracle_min_rmsd,all_methods,high,2100,0.9395238095238095,0.3342788368463516,0.9102564102564102,,
oracle_min_rmsd,all_methods,low,528,0.23106060606060605,5.001321315765381,0.68,,
oracle_min_rmsd,all_methods,mid,2099,0.6102906145783706,1.3267371654510498,0.6923076923076923,,
oracle_min_rmsd,af3,all,697,0.7546628407460545,0.633518397808075,0.7727272727272727,,
oracle_min_rmsd,af3,high,300,0.9733333333333334,0.26127198338508606,1.0,,
oracle_min_rmsd,af3,low,97,0.31958762886597936,4.353650093078613,0.6666666666666666,,
oracle_min_rmsd,af3,mid,300,0.6766666666666666,1.149610698223114,0.6363636363636364,,
oracle_min_rmsd,af3_no_template,all,697,0.7661406025824964,0.6139246821403503,0.7666666666666667,,
oracle_min_rmsd,af3_no_template,high,300,0.9833333333333333,0.2537378519773483,1.0,,
oracle_min_rmsd,af3_no_template,low,97,0.28865979381443296,4.001913070678711,0.6666666666666666,,
oracle_min_rmsd,af3_no_template,mid,300,0.7033333333333334,1.0336121320724487,0.5,,
oracle_min_rmsd,boltz,all,670,0.682089552238806,0.8665155172348022,0.6410256410256411,,
oracle_min_rmsd,boltz,high,300,0.9,0.48099832236766815,0.7333333333333333,,
oracle_min_rmsd,boltz,low,70,0.15714285714285714,5.111085891723633,0.5,,
oracle_min_rmsd,boltz,mid,300,0.5866666666666667,1.5168759226799011,0.6,,
oracle_min_rmsd,boltz1x,all,666,0.6756756756756757,0.8349789083003998,0.8793103448275862,,
oracle_min_rmsd,boltz1x,high,300,0.8833333333333333,0.46192237734794617,1.0,,
oracle_min_rmsd,boltz1x,low,66,0.15151515151515152,5.1327009201049805,0.7777777777777778,,
oracle_min_rmsd,boltz1x,mid,300,0.5833333333333334,1.4925705790519714,0.8387096774193549,,
oracle_min_rmsd,boltz2,all,630,0.7666666666666667,0.6751895844936371,,,
oracle_min_rmsd,boltz2,high,300,0.9466666666666667,0.3540731966495514,,,
oracle_min_rmsd,boltz2,low,31,0.1935483870967742,3.8177645206451416,,,
oracle_min_rmsd,boltz2,mid,299,0.6454849498327759,1.2372722625732422,,,
oracle_min_rmsd,chai,all,680,0.6794117647058824,0.7640203535556793,0.7837837837837838,,
oracle_min_rmsd,chai,high,300,0.93,0.2949099838733673,0.8666666666666667,,
oracle_min_rmsd,chai,low,80,0.2625,6.158359527587891,0.8,,
oracle_min_rmsd,chai,mid,300,0.54,1.6799092292785645,0.7058823529411765,,
oracle_min_rmsd,protenix,all,687,0.6754002911208151,0.7907001972198486,0.7142857142857143,,
oracle_min_rmsd,protenix,high,300,0.96,0.32111589610576624,0.8571428571428571,,
oracle_min_rmsd,protenix,low,87,0.1724137931034483,7.985792636871338,0.0,,
oracle_min_rmsd,protenix,mid,300,0.5366666666666666,1.7848669290542603,0.6923076923076923,,
