threshold,objective,primary,secondary,tertiary,selector,outer_fold,chosen_threshold
0.7,low_success,0.15028131579855716,0.6306248924805625,-0.3693751075194374,nested_pair_rank_structure_memory_antimemory_low_success,3,0.4
0.02,all_success,0.607355168695375,0.1247931839885863,-0.39264483130462513,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.05,all_success,0.6097354916942547,0.13186002094048072,-0.39026450830574544,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.1,all_success,0.6150243990450176,0.1364111237674456,-0.38497560095498234,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.2,all_success,0.6211052788372377,0.14798246522384453,-0.3788947211627624,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.3,all_success,0.6240136533950967,0.1481993487740614,-0.3759863466049033,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.4,all_success,0.6277163081286793,0.15504930217573895,-0.37228369187132077,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.5,all_success,0.6311535734216146,0.15275045160102632,-0.36884642657838534,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.6,all_success,0.63194596545112,0.15028131579855716,-0.3680540345488799,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.7,all_success,0.6322109353037187,0.15028131579855716,-0.3677890646962812,nested_pair_rank_structure_memory_ordinary_all_success,3,0.7
0.02,low_success,0.13632541517763294,0.6086754024898354,-0.39132459751016446,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.05,low_success,0.13632541517763294,0.6099977342245383,-0.3900022657754616,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.1,low_success,0.1341181416859365,0.6118487469002932,-0.38815125309970666,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.2,low_success,0.13425828603461565,0.620838630632445,-0.3791613693675549,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.3,low_success,0.143647957396118,0.6226896433082,-0.37731035669179996,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.4,low_success,0.13881297736668766,0.6269201398067378,-0.3730798601932623,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.5,low_success,0.143647957396118,0.6306227945403203,-0.3693772054596797,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.6,low_success,0.143647957396118,0.6319434479228293,-0.36805655207717064,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.7,low_success,0.143647957396118,0.6308860860407252,-0.3691139139592748,nested_pair_rank_structure_antimemory_low_success,4,0.6
0.02,low_success,0.1244481816270759,0.6020656319625391,-0.3979343680374608,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.05,low_success,0.12693574381613063,0.6039166446382941,-0.39608335536170586,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.1,low_success,0.13191086819424006,0.6047100856379207,-0.39528991436207933,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.2,low_success,0.1389531217153668,0.6142288601051488,-0.3857711398948512,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.3,low_success,0.143647957396118,0.6224248832496255,-0.3775751167503745,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.4,low_success,0.14599537523649356,0.6285055532478213,-0.37149444675217874,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
0.5,low_success,0.14599537523649356,0.6322069492172585,-0.36779305078274155,nested_pair_rank_structure_memory_antimemory_low_success,4,0.6
