detector,flagged_fraction,flagged_n,flagged_failure_rate,failure_enrichment,failure_capture_rate,retained_coverage,retained_success,global_success,retained_success_delta,flagged_failure_rescueable_rate,actionable_flag_rate
rank_confidence_structure_memory,0.2,946,0.8974630021141649,2.390032456897835,0.4783098591549296,0.7998730696001692,0.7550912457021952,0.6244975671673365,0.1305936785348587,0.1519434628975265,0.13636363636363635
rank_confidence_structure_memory,0.3,1419,0.8350951374207188,2.223940684274782,0.6676056338028169,0.6998096044002539,0.8216444981862152,0.6244975671673365,0.1971469310188787,0.17721518987341772,0.14799154334038056
rank_confidence_structure_memory,0.4,1891,0.7535695399259651,2.0068299804112883,0.8028169014084507,0.599957689866723,0.8765867418899859,0.6244975671673365,0.25208917472264936,0.1943859649122807,0.14648334214701217
rank_confidence_structure_memory,0.5,2364,0.666243654822335,1.7742725387860157,0.8873239436619719,0.4998942246668077,0.9153618281845112,0.6244975671673365,0.29086426101717466,0.21587301587301588,0.14382402707275804
rank_confidence_structure_memory_shuffled,0.05,237,0.9324894514767933,2.4833113448624236,0.12450704225352113,0.94986249206685,0.6538975501113586,0.6244975671673365,0.02939998294402213,0.16289592760180996,0.1518987341772152
rank_confidence_structure_memory_shuffled,0.1,473,0.9090909090909091,2.4209987195902687,0.24225352112676057,0.8999365348000846,0.6838269863657733,0.6244975671673365,0.05932941919843682,0.17674418604651163,0.160676532769556
rank_confidence_structure_memory_shuffled,0.2,946,0.8509513742071881,2.2661674061281003,0.4535211267605634,0.7998730696001692,0.7434541126686062,0.6244975671673365,0.11895654550126966,0.19006211180124225,0.16173361522198731
rank_confidence_structure_memory_shuffled,0.3,1419,0.7801268498942917,2.077554715183277,0.6236619718309859,0.6998096044002539,0.7980652962515115,0.6244975671673365,0.17356772908417495,0.20596205962059622,0.160676532769556
rank_confidence_structure_memory_shuffled,0.4,1891,0.7028027498677948,1.8716330133098962,0.7487323943661972,0.599957689866723,0.8427362482369535,0.6244975671673365,0.21823868106961697,0.2197140707298721,0.15441565309360128
rank_confidence_structure_memory_shuffled,0.5,2364,0.6357868020304569,1.6931629370129406,0.8467605633802817,0.4998942246668077,0.8848920863309353,0.6244975671673365,0.2603945191635988,0.22488356620093147,0.14297800338409475
